Price,Address,Space
"$2,000","526 W 211 Th St, New York, NY 10034", 3bd  1ba
"$1,725","Room For Rent 7 Eldridge Street, New York City, NY 10002", 3bd  1ba
"$1,725","Room For Rent 7 Eldridge Street, New York City, NY 10002", 3bd  1ba
"$2,000","Room For Rent 356 West 39th Street, New York City, NY 10018", 3bd  1ba
"$1,825","Room For Rent 81 Olive Street, New York City, NY 11211", 3bd  1ba
"$1,725","Room For Rent 208 East 95th Street, New York City, NY 10128", 3bd  1ba
"$1,675","Room For Rent 1523 York Avenue, New York City, NY 10028", 3bd  1ba
"$1,175","Room For Rent 20 A Clendenny Avenue, Jersey City, NJ 07304", 3bd  1.5ba
"$1,800","Room For Rent 226 East 7th Street, New York City, NY 10009", 3bd  1ba
"$1,975","Room For Rent 136 West 109th Street, New York City, NY 10025", 3bd  1ba
"$1,500","Room For Rent 148 Grove Street, New York City, NY 11221", 3bd  2ba
"$1,850","Room For Rent 226 East 7th Street, New York City, NY 10009", 3bd  1ba
"$1,500","Room For Rent 148 Grove Street, New York City, NY 11221", 3bd  2ba
"$1,825","Room For Rent 172 West 107th Street, New York City, NY 10025", 3bd  1ba
"$1,250","Room For Rent 508 Throop Avenue, New York City, NY 11221", 3bd  1ba
"$1,800","Room For Rent 965 Amsterdam Avenue, New York City, NY 10025", 3bd  1ba
"$1,750","Room For Rent 953 Columbus Avenue, New York City, NY 10025", 3bd  1ba
"$1,725","Room For Rent 207 West 109th Street, New York City, NY 10025", 3bd  1ba
"$1,350","Room For Rent 3620 Broadway, New York City, NY 10031", 3bd  1ba
"$1,375","Room For Rent 414 4th Avenue, New York City, NY 11215", 3bd  1ba
"$1,775","Room For Rent 23 East 109th Street, New York City, NY 10029", 3bd  2ba
"$1,150","Room For Rent 2141 Cortelyou Road, New York City, NY 11226", 3bd  1ba
"$1,750","Room For Rent 225 West 109th Street, New York City, NY 10025", 3bd  1ba
"$1,550","Room For Rent 3620 Broadway, New York City, NY 10031", 3bd  1ba
"$1,750","Room For Rent 214 West 109th Street, New York City, NY 10025", 3bd  1ba
"$1,775","Room For Rent 7 Eldridge Street, New York City, NY 10002", 3bd  1ba
"$1,725","Room For Rent 214 West 109th Street, New York City, NY 10025", 3bd  1ba
"$1,800","Room For Rent 208 East 95th Street, New York City, NY 10128", 3bd  1ba
"$1,575","Room For Rent 23 East 109th Street, New York City, NY 10029", 3bd  2ba
"$1,725","Room For Rent 209 West 109th Street, New York City, NY 10025", 3bd  1ba
"$1,700","Room For Rent 615 West 136th Street, New York City, NY 10031", 3bd  1ba
"$1,675","Room For Rent 615 West 136th Street, New York City, NY 10031", 3bd  1ba
"$1,500","Room For Rent 3620 Broadway, New York City, NY 10031", 3bd  1ba
"$1,600","Room For Rent 205 West 109th Street, New York City, NY 10025", 3bd  1ba
"$1,725","Room For Rent 7 Eldridge Street, New York City, NY 10002", 3bd  1ba
"$1,900","Room For Rent 961 Columbus Avenue, New York City, NY 10025", 3bd  2ba
"$1,675","Room For Rent 23 East 109th Street, New York City, NY 10029", 3bd  1ba
"$1,925","Room For Rent 243 W 109 Street, New York City, NY 10025", 3bd  1ba
"$2,000","Room For Rent 207 W 109th Street, New York City, NY 10025", 3bd  1ba
"$1,750","Room For Rent 169 Manhattan Avenue, New York City, NY 10025", 3bd  1ba
"$1,450","Room For Rent 2376 Adam Clayton Powell, New York City, NY 10030", 3bd  1ba
"$1,775","Room For Rent 606 West 148th Street, New York City, NY 10031", 3bd  2ba
"$1,825","Room For Rent 356 West 39th Street, New York City, NY 10018", 3bd  1ba
"$1,525","Room For Rent 81 Olive Street, New York City, NY 11211", 3bd  1ba
"$1,725","Room For Rent 207 W 109th Street, New York City, NY 10025", 3bd  1ba
"$1,925","Room For Rent 961 Columbus Avenue, New York City, NY 10025", 3bd  2ba
"$2,000","Room For Rent 249 West 109th Street, New York City, NY 10025", 3bd  1ba
"$1,750","Room For Rent 207 West 109th Street, New York City, NY 10025", 3bd  1ba
"$1,425","Room For Rent 2376 Adam Clayton Powell, New York City, NY 10030", 3bd  1ba
"$1,825","Room For Rent 965 Amsterdam Avenue, New York City, NY 10025", 3bd  1ba
"$1,100","Room For Rent 2376 Adam Clayton Powell, New York City, NY 10030", 3bd  1ba
"$1,910","Room For Rent 39 A Broome Street, New York City, NY 11222", 3bd  2ba
"$1,275","Room For Rent 184 Claremont Street, New York City, NY 10027", 3bd  2ba
"$1,775","Room For Rent 7 Eldridge Street, New York City, NY 10002", 3bd  1ba
"$1,450","Room For Rent 1236 Putnam Avenue, New York City, NY 11221", 3bd  1ba
"$1,400","Room For Rent 2376 Adam Clayton Powell, New York City, NY 10030", 3bd  1ba
"$1,750","Room For Rent 7 Eldridge Street, New York City, NY 10002", 3bd  1ba
"$1,875","Room For Rent 7 Eldridge Street, New York City, NY 10002", 3bd  1ba
"$1,950","Room For Rent 961 Columbus Avenue, New York City, NY 10025", 3bd  2ba
"$1,825","Room For Rent 249 West 109th Street, New York City, NY 10025", 3bd  1ba
"$1,775","Room For Rent 944 Columbus Avenue, New York City, NY 10025", 3bd  1ba
"$1,925","Room For Rent 965 Amsterdam Avenue, New York City, NY 10025", 3bd  1ba
"$1,700","Room For Rent 133 Avenue D, New York City, NY 10009", 3bd  1ba
"$1,650","Room For Rent 1521 York Avenue, New York City, NY 10028", 3bd  1ba
"$1,700","Room For Rent 953 Columbus Avenue, New York City, NY 10025", 3bd  1ba
"$1,725","Room For Rent 7 Eldridge Street, New York City, NY 10002", 3bd  1ba
"$1,675","Room For Rent 7 Eldridge Street, New York City, NY 10002", 3bd  1ba
"$1,750","Room For Rent 7 Eldridge Street, New York City, NY 10002", 3bd  1ba
"$1,150","Room For Rent 4423 4th Avenue, New York City, NY 11220", 3bd  1ba
"$1,750","Room For Rent 7 Eldridge Street, New York City, NY 10002", 3bd  1ba
"$1,525","Room For Rent 679 Halsey Street, New York City, NY 11233", 3bd  1ba
"$1,450","Room For Rent 2376 Adam Clayton Powell, New York City, NY 10030", 3bd  1ba
"$1,425","Room For Rent 3620 Broadway, New York City, NY 10031", 3bd  1ba
"$1,325","Room For Rent 1930 Bedford Avenue, New York City, NY 11225", 3bd  1ba
"$1,575","Room For Rent 2141 Cortelyou Road, New York City, NY 11226", 3bd  1ba
"$1,700","Room For Rent 211 West 109th Street, New York City, NY 10025", 3bd  1ba
"$1,700","Room For Rent 7 Eldridge Street, New York City, NY 10002", 3bd  1ba
"$1,300","Room For Rent 1930 Bedford Avenue, New York City, NY 11225", 3bd  1ba
"$1,480","Room For Rent 301 Saint Nicholas, New York City, NY 10027", 3bd  1ba
"$1,350","Room For Rent 4423 4th Avenue, New York City, NY 11220", 3bd  1ba
"$2,000","938 Anna Street, Elizabeth, NJ 07201", 3bd  1ba
"$1,010+","817 Chancellor Ave, Irvington, NJ 07111", 3bd  1ba
"$1,222+","85 Washington St, East Orange, NJ 07017", 3bd  1ba
"$1,010+","95 Washington St, East Orange, NJ 07017", 3bd  1ba
"$1,700","200 Stegman St 2, Jersey City, NJ 07305", 3bd  1ba
"$1,900","164 W 19th St 2, Bayonne, NJ 07002", 3bd  2ba
"$2,000","86 10 102nd St 2 R, Queens, NY 11418", 3bd  1ba
"$1,850","364 John F Kennedy Blvd 2, Bayonne, NJ 07002", 3bd  1ba
"$2,000","125 Duncan Ave 2, Jersey City, NJ 07306", 3bd  1ba
"$1,850","1184 John F Kennedy Blvd 1, Bayonne, NJ 07002", 3bd  1ba
"$1,900","33 Vailsburg Terrace 2, Newark, NJ 07106", 3bd  1ba
"$1,950","169 Lincoln St 2, Jersey City, NJ 07307", 3bd  1ba
"$1,900","311 Myrtle Ave, Irvington, NJ 07111", 3bd  1ba
"$1,850","411 M L K Drive 4 L, Jersey City, NJ 07304", 3bd  1ba
"$1,995","134 S 7th St 2, Newark, NJ 07107", 3bd  2ba
"$1,800","583 West Side Ave 2, Jersey City, NJ 07304", 3bd  1ba
"$1,900","89 W 9th St, Bayonne, NJ 07002", 3bd  1ba
"$2,000","422 Broadway, Bayonne, NJ 07002", 3bd  1ba
"$2,000","328 Franklin St 1, Elizabeth, NJ 07206", 3bd  1ba
"$1,950","33 Aldine St, Newark, NJ 07112", 3bd  1ba
"$1,900","305 Van Houten St 2, Paterson, NJ 07501", 3bd  1ba
"$1,800","184 Hollywood Ave 2, East Orange, NJ 07018", 3bd  1ba
"$2,000","363 Forrest St, Jersey City, NJ 07304", 3bd  1ba
"$2,000","73 23 70th St 2, Queens, NY 11385", 3bd  1ba
"$1,750","27 W 39th St 2, Bayonne, NJ 07002", 3bd  1ba
"$1,600","293 S 7th St 2, Newark, NJ 07103", 3bd  1ba
"$1,950","787 S 12 Th St 1, Newark, NJ 07108", 3bd  1ba
"$2,000","95 Alexander St 2, Newark, NJ 07106", 3bd  1ba
"$2,000","296 Preakness Ave, Paterson, NJ 07502", 3bd  1ba
"$2,000","696 Ave E 1, Bayonne, NJ 07002", 3bd  1ba
"$2,000","58 Dodd St, Bloomfield, NJ 07003", 3bd  1ba
"$2,000","187 Clerk St 2, Jersey City, NJ 07305", 3bd  1ba
"$1,800","55 3rd St 1, Newark, NJ 07107", 3bd  1ba
"$2,000","7 Winans Ave 1, Newark, NJ 07108", 3bd  1ba
"$2,000","165 N 18th St 1, East Orange, NJ 07017", 3bd  1ba
"$2,000","297 W Broadway 1, Paterson, NJ 07522", 3bd  1ba
"$1,900","245 22nd St 3, Irvington, NJ 07111", 3bd  1ba
"$1,750","82 Seymour Ave, Newark, NJ 07108", 3bd  1ba
"$1,850","258 S 11 Th St Unit 1, Newark, NJ 07107", 3bd  1ba
"$1,850","66 S 13 Th St Unit 3, Newark, NJ 07107", 3bd  2ba
"$2,000","128 N 15th St, East Orange, NJ 07017", 3bd  1ba
"$1,850","116 Seymour Ave Unit 1, Newark, NJ 07108", 3bd  2ba
"$1,750","215 Chadwick Ave Unit 2 R, Newark, NJ 07108", 3bd  1ba
"$1,900","47 Eaton Pl Unit 1, East Orange, NJ 07017", 3bd  1ba
"$1,795","379 Chadwick Ave Unit 2, Newark, NJ 07112", 3bd  2ba
"$1,850","428 S 14th St Unit 1, Newark, NJ 07103", 3bd  1.5ba
"$1,850","526 S 13 Th St Unit 2, Newark, NJ 07103", 3bd  1ba
"$1,600","611 Clinton Ave Unit 3 B, Newark, NJ 07108", 3bd  1ba
"$1,995","18 N 19th St Unit 2, East Orange, NJ 07017", 3bd  1ba
"$1,700","25 Evergreen Ave, Newark, NJ 07114", 3bd  1ba
"$1,800","176 Hollywood Ave Unit 1, East Orange, NJ 07018", 3bd  1ba
"$1,950","137 Shephard Ave Unit 2, Newark, NJ 07112", 3bd  2ba
"$1,950","584 15th Ave Unit 1, Newark, NJ 07103", 3bd  1ba
"$1,850","424 S 17th St Unit 1, Newark, NJ 07103", 3bd  2ba
"$1,850","789 S 12 Th St Unit 2, Newark, NJ 07108", 3bd  1.5ba
"$1,800","144 Mapes Ave, Newark, NJ 07112", 3bd  1ba
"$2,000","319 Livingston St Unit 2nd, Elizabeth, NJ 07206", 3bd  1ba
"$1,795","78 Clinton Pl Unit 3, Newark, NJ 07108", 3bd  1ba
"$1,850","432 Avon Ave Unit 1, Newark, NJ 07108", 3bd  1.5ba
"$1,600","282 Renner Ave Unit 2, Newark, NJ 07112", 3bd  1ba
"$1,800","443 Hawthorne Ave Unit 2, Newark, NJ 07112", 3bd  1ba
"$1,850","548 S 20th St Unit 2, Newark, NJ 07103", 3bd  1ba
"$1,750","413 Franklin St Unit 2, Elizabeth, NJ 07206", 3bd  1ba
"$1,895","252 21st St Unit 1, Irvington, NJ 07111", 3bd  1.5ba
"$1,700","259 22nd St Unit 1, Irvington, NJ 07111", 3bd  1ba
"$1,850","821 S 19th St Unit 2, Newark, NJ 07108", 3bd  1ba
"$1,925","654 Grove St Unit 1, Irvington, NJ 07111", 3bd  2ba
"$1,750","81 22nd St Unit 2, Irvington, NJ 07111", 3bd  1ba
"$1,950","246 Nye Ave Unit 6, Newark, NJ 07112", 3bd  1ba
"$2,000","197 River Dr Unit 2 Nd, Garfield, NJ 07026", 3bd  1ba
"$1,975","145 Hobson St Unit 2, Newark, NJ 07112", 3bd  1ba
"$1,700","424 Park Ave Unit 31, East Orange, NJ 07017", 3bd  1ba
"$1,750","394 Myrtle Ave Unit 1, Irvington, NJ 07111", 3bd  1ba
"$1,900","883 Springfield Ave, Irvington, NJ 07111", 3bd  1ba
"$1,900","526 Park Ave Unit 2 W, East Orange, NJ 07017", 3bd  1ba
"$1,750","1059 Grove St Unit 2, Irvington, NJ 07111", 3bd  1ba
"$1,900","133 Vermont Ave Unit 1, Newark, NJ 07106", 3bd  1ba
"$1,950","170 Linden Ave Unit 2, Irvington, NJ 07111", 3bd  1ba
"$1,800","558 Lyons Ave Unit 1 L, Irvington, NJ 07111", 3bd  1ba
"$1,850","509 Nye Ave, Irvington, NJ 07111", 3bd  1ba
"$1,900","51 Myrtle Ave Unit 2, Irvington, NJ 07111", 3bd  1ba
"$2,000","286 Halsted St, East Orange, NJ 07018", 3bd  1ba
"$2,000","34 Norwood St Unit 1, Newark, NJ 07106", 3bd  1ba
"$1,750","116 Norwood St Unit 1, Newark, NJ 07106", 3bd  1ba
"$1,950","23 25 Colleen St Unit 1 R, Newark, NJ 07106", 3bd  1.5ba
"$1,895","199 Smith St Unit 2, Newark, NJ 07106", 3bd  1ba
"$1,950","36 Fitch St, Carteret, NJ 07008", 3bd  1ba
